Nama Perusahaan,Alamat,Modul Pembelajaran
Adis Amatulia ,Kendal,"Text Mining,Grafika Komputer,Sistem Infomasi Geografis,Statistika,Web Servis "
PT Orbit Ventura Indonesia,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930","Siklus Project Al,Sasaran Pengembangan Skill,"
PT Hacktivate Teknologi Indonesia,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7, RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240","Memahami serta mengimplementasikan library hingga user interfacen3rd Parties sebagai kerangka kerja awal pembuatan sebuah aplikasi android, memahami cara menggunakan API yang tersedia melalui software,memahami konsep bahasa java native dan pengembangannya,memahami konsep dasar dan penerapan android sebagai fundamental dasar"
PT Ruang Raya Indonesia,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project,software engineering : menerapkan proses pengembangan software dengan menggunakan code editor visual studio code,terminal,version control,dan basic networking,basic fronted Web Development with HTML & CSS: Memahami penulisan HTML dan penggunaan CSS dalam Web Development dasar."
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,"Mengenal teknik dan langkah dalam manajemen proyek, mengenal teknik dan langkah dalam manajemen proyek perangkat lunak,Mampu mengenal beragam proyek kecerdasan artifisial, mengenal industri AI,Mampu mengenal cara membuat digital startup dan mengurus aspek legal perusahaan"
PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan","Branding on logo,tagline,brand value & brand story,website & landing page,graphic design,public speaking & live streaming"
PT. IlmuKomputerCom Braindevs Sistema,Jl. Gatot Subroto Kav. 71-73 Pancoran Jakarta Selatan 12870,"Systems Analysis and design,communication skills,team work,time management,software Engineering"
PT Bank Negara Indonesia (Persero) Tbk,"Gedung Grha BNI, Jl. Jend. Sudirman No.10, RT.10/RW.11, Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta 10220","Collaboration,can do attitude,communication,willingness to learn"
PT Zona Edukasi Nusantara,"Graha Aktiva, Ground Floor Jalan HR Rasuna Said Kav. 03 East Kuningan, Setiabudi South Jakarta, 12950 Indonesia","Kemampuan literasi ,ilmu dasar pembuatan animasi,kemampuan numerasi,komunikasi efektif,menciptakan karya animasi yang estetik dan efektif"
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung","Content design,strategic communication plan,content delivery,content review"
PT Pundi Mas Berjaya,"Jl. Kw. Industri Tunas 2 No.7D, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444","Mampu menggunakan metode SDLC,peserta mempelajari metode SDLC dengan cara mencari sebuah sistem yang open source code, melakukan modifikasi,presentasi sistem yang telah dimodifikasi"
PT Inamas Sintesis Teknologi,"Jl. Werkudara 4, Kel. Wirobrajan, Kec. Wirobrajan, Yogyakarta, D.I.Yogyakarta 55252","Mampu menerapkan proses desain ke bentuk engineering desain 3D dan drafting sebelum manufaktur,Peserta magang diharapkan dapat melakukan proses desain keteknikan mulai dari merumuskan masalah, menyusun solusi terkait permasalahan teknis, dan menghasilkan desain sistem dengan ide-ide baru di bidang keteknikan."